"Reservoir","DateTime","Taxon","size","sd"
"BVR",2014-04-04,"Daphnia",NA,NA
"BVR",2014-04-04,"Calanoida",NA,NA
"BVR",2014-04-04,"Cyclopoida",0.56,NA
"BVR",2014-04-04,"Nauplii",NA,NA
"BVR",2014-04-04,"Bosmina",0.2,NA
"BVR",2014-04-04,"Ceriodaphnia",NA,NA
"BVR",2014-04-04,"Ascomorpha",NA,NA
"BVR",2014-04-04,"Conochilus",NA,NA
"BVR",2014-04-04,"Keratella",NA,NA
"BVR",2014-04-04,"Trichocerca",NA,NA
"BVR",2014-04-04,"Kellicottia",NA,NA
"BVR",2014-04-04,"Polyarthra",NA,NA
"BVR",2014-04-04,"Rotifera",NA,NA
"BVR",2014-04-04,"Cladocera",0.23,0.0424264068711929
"BVR",2014-04-04,"Copepoda",0.56,NA
"BVR",2014-04-17,"Daphnia",0.49,NA
"BVR",2014-04-17,"Calanoida",0.57,NA
"BVR",2014-04-17,"Cyclopoida",0.54,NA
"BVR",2014-04-17,"Nauplii",NA,NA
"BVR",2014-04-17,"Bosmina",0.25,NA
"BVR",2014-04-17,"Ceriodaphnia",NA,NA
"BVR",2014-04-17,"Ascomorpha",NA,NA
"BVR",2014-04-17,"Conochilus",NA,NA
"BVR",2014-04-17,"Keratella",NA,NA
"BVR",2014-04-17,"Trichocerca",NA,NA
"BVR",2014-04-17,"Kellicottia",NA,NA
"BVR",2014-04-17,"Polyarthra",NA,NA
"BVR",2014-04-17,"Rotifera",NA,NA
"BVR",2014-04-17,"Cladocera",0.326666666666667,0.141539158303748
"BVR",2014-04-17,"Copepoda",0.555,0.0212132034355964
"BVR",2014-04-30,"Daphnia",0.58,0.14142135623731
"BVR",2014-04-30,"Calanoida",0.65,NA
"BVR",2014-04-30,"Cyclopoida",0.43,NA
"BVR",2014-04-30,"Nauplii",NA,NA
"BVR",2014-04-30,"Bosmina",0.26,NA
"BVR",2014-04-30,"Ceriodaphnia",NA,NA
"BVR",2014-04-30,"Ascomorpha",NA,NA
"BVR",2014-04-30,"Conochilus",NA,NA
"BVR",2014-04-30,"Keratella",NA,NA
"BVR",2014-04-30,"Trichocerca",NA,NA
"BVR",2014-04-30,"Kellicottia",NA,NA
"BVR",2014-04-30,"Polyarthra",NA,NA
"BVR",2014-04-30,"Rotifera",NA,NA
"BVR",2014-04-30,"Cladocera",0.4325,0.189978068909721
"BVR",2014-04-30,"Copepoda",0.54,0.15556349186104
"BVR",2014-05-14,"Daphnia",0.67,NA
"BVR",2014-05-14,"Calanoida",0.45,NA
"BVR",2014-05-14,"Cyclopoida",0.62,NA
"BVR",2014-05-14,"Nauplii",NA,NA
"BVR",2014-05-14,"Bosmina",0.29,NA
"BVR",2014-05-14,"Ceriodaphnia",NA,NA
"BVR",2014-05-14,"Ascomorpha",NA,NA
"BVR",2014-05-14,"Conochilus",NA,NA
"BVR",2014-05-14,"Keratella",NA,NA
"BVR",2014-05-14,"Trichocerca",NA,NA
"BVR",2014-05-14,"Kellicottia",NA,NA
"BVR",2014-05-14,"Polyarthra",NA,NA
"BVR",2014-05-14,"Rotifera",NA,NA
"BVR",2014-05-14,"Cladocera",0.393333333333333,0.24214320831552
"BVR",2014-05-14,"Copepoda",0.535,0.120208152801713
"BVR",2014-05-29,"Daphnia",0.43,NA
"BVR",2014-05-29,"Calanoida",NA,NA
"BVR",2014-05-29,"Cyclopoida",0.67,NA
"BVR",2014-05-29,"Nauplii",NA,NA
"BVR",2014-05-29,"Bosmina",NA,NA
"BVR",2014-05-29,"Ceriodaphnia",NA,NA
"BVR",2014-05-29,"Ascomorpha",NA,NA
"BVR",2014-05-29,"Conochilus",NA,NA
"BVR",2014-05-29,"Keratella",NA,NA
"BVR",2014-05-29,"Trichocerca",NA,NA
"BVR",2014-05-29,"Kellicottia",NA,NA
"BVR",2014-05-29,"Polyarthra",NA,NA
"BVR",2014-05-29,"Rotifera",NA,NA
"BVR",2014-05-29,"Cladocera",0.36,0.0989949493661167
"BVR",2014-05-29,"Copepoda",0.67,NA
"BVR",2014-06-04,"Daphnia",0.64,NA
"BVR",2014-06-04,"Calanoida",0.46,NA
"BVR",2014-06-04,"Cyclopoida",0.56,NA
"BVR",2014-06-04,"Nauplii",NA,NA
"BVR",2014-06-04,"Bosmina",NA,NA
"BVR",2014-06-04,"Ceriodaphnia",NA,NA
"BVR",2014-06-04,"Ascomorpha",NA,NA
"BVR",2014-06-04,"Conochilus",NA,NA
"BVR",2014-06-04,"Keratella",NA,NA
"BVR",2014-06-04,"Trichocerca",NA,NA
"BVR",2014-06-04,"Kellicottia",NA,NA
"BVR",2014-06-04,"Polyarthra",NA,NA
"BVR",2014-06-04,"Rotifera",NA,NA
"BVR",2014-06-04,"Cladocera",0.413333333333333,0.241108550933668
"BVR",2014-06-04,"Copepoda",0.51,0.0707106781186548
"BVR",2014-06-18,"Daphnia",0.82,NA
"BVR",2014-06-18,"Calanoida",NA,NA
"BVR",2014-06-18,"Cyclopoida",0.31,NA
"BVR",2014-06-18,"Nauplii",NA,NA
"BVR",2014-06-18,"Bosmina",NA,NA
"BVR",2014-06-18,"Ceriodaphnia",NA,NA
"BVR",2014-06-18,"Ascomorpha",NA,NA
"BVR",2014-06-18,"Conochilus",NA,NA
"BVR",2014-06-18,"Keratella",NA,NA
"BVR",2014-06-18,"Trichocerca",NA,NA
"BVR",2014-06-18,"Kellicottia",NA,NA
"BVR",2014-06-18,"Polyarthra",NA,NA
"BVR",2014-06-18,"Rotifera",NA,NA
"BVR",2014-06-18,"Cladocera",0.67,0.453982378512647
"BVR",2014-06-18,"Copepoda",0.31,NA
"BVR",2014-06-25,"Daphnia",0.54,NA
"BVR",2014-06-25,"Calanoida",NA,NA
"BVR",2014-06-25,"Cyclopoida",0.54,NA
"BVR",2014-06-25,"Nauplii",NA,NA
"BVR",2014-06-25,"Bosmina",0.2,NA
"BVR",2014-06-25,"Ceriodaphnia",NA,NA
"BVR",2014-06-25,"Ascomorpha",NA,NA
"BVR",2014-06-25,"Conochilus",NA,NA
"BVR",2014-06-25,"Keratella",NA,NA
"BVR",2014-06-25,"Trichocerca",NA,NA
"BVR",2014-06-25,"Kellicottia",NA,NA
"BVR",2014-06-25,"Polyarthra",NA,NA
"BVR",2014-06-25,"Rotifera",NA,NA
"BVR",2014-06-25,"Cladocera",0.37,0.240416305603426
"BVR",2014-06-25,"Copepoda",0.54,NA
"BVR",2014-07-02,"Daphnia",0.855,0.0636396103067893
"BVR",2014-07-02,"Calanoida",NA,NA
"BVR",2014-07-02,"Cyclopoida",0.72,NA
"BVR",2014-07-02,"Nauplii",NA,NA
"BVR",2014-07-02,"Bosmina",0.25,NA
"BVR",2014-07-02,"Ceriodaphnia",0.26,NA
"BVR",2014-07-02,"Ascomorpha",NA,NA
"BVR",2014-07-02,"Conochilus",NA,NA
"BVR",2014-07-02,"Keratella",NA,NA
"BVR",2014-07-02,"Trichocerca",NA,NA
"BVR",2014-07-02,"Kellicottia",NA,NA
"BVR",2014-07-02,"Polyarthra",NA,NA
"BVR",2014-07-02,"Rotifera",NA,NA
"BVR",2014-07-02,"Cladocera",0.555,0.348377190221557
"BVR",2014-07-02,"Copepoda",0.72,NA
"BVR",2014-07-09,"Daphnia",0.61,0.240416305603426
"BVR",2014-07-09,"Calanoida",NA,NA
"BVR",2014-07-09,"Cyclopoida",0.79,NA
"BVR",2014-07-09,"Nauplii",NA,NA
"BVR",2014-07-09,"Bosmina",NA,NA
"BVR",2014-07-09,"Ceriodaphnia",0.38,NA
"BVR",2014-07-09,"Ascomorpha",NA,NA
"BVR",2014-07-09,"Conochilus",NA,NA
"BVR",2014-07-09,"Keratella",NA,NA
"BVR",2014-07-09,"Trichocerca",NA,NA
"BVR",2014-07-09,"Kellicottia",NA,NA
"BVR",2014-07-09,"Polyarthra",NA,NA
"BVR",2014-07-09,"Rotifera",NA,NA
"BVR",2014-07-09,"Cladocera",0.475,0.211266025033211
"BVR",2014-07-09,"Copepoda",0.79,NA
"BVR",2014-07-23,"Daphnia",0.82,0.169705627484771
"BVR",2014-07-23,"Calanoida",NA,NA
"BVR",2014-07-23,"Cyclopoida",0.48,NA
"BVR",2014-07-23,"Nauplii",NA,NA
"BVR",2014-07-23,"Bosmina",0.23,NA
"BVR",2014-07-23,"Ceriodaphnia",NA,NA
"BVR",2014-07-23,"Ascomorpha",NA,NA
"BVR",2014-07-23,"Conochilus",NA,NA
"BVR",2014-07-23,"Keratella",NA,NA
"BVR",2014-07-23,"Trichocerca",NA,NA
"BVR",2014-07-23,"Kellicottia",NA,NA
"BVR",2014-07-23,"Polyarthra",NA,NA
"BVR",2014-07-23,"Rotifera",NA,NA
"BVR",2014-07-23,"Cladocera",0.623333333333333,0.361155552820849
"BVR",2014-07-23,"Copepoda",0.48,NA
"BVR",2014-08-13,"Daphnia",0.685,0.0494974746830583
"BVR",2014-08-13,"Calanoida",NA,NA
"BVR",2014-08-13,"Cyclopoida",0.5,NA
"BVR",2014-08-13,"Nauplii",NA,NA
"BVR",2014-08-13,"Bosmina",0.24,NA
"BVR",2014-08-13,"Ceriodaphnia",NA,NA
"BVR",2014-08-13,"Ascomorpha",NA,NA
"BVR",2014-08-13,"Conochilus",NA,NA
"BVR",2014-08-13,"Keratella",NA,NA
"BVR",2014-08-13,"Trichocerca",NA,NA
"BVR",2014-08-13,"Kellicottia",NA,NA
"BVR",2014-08-13,"Polyarthra",NA,NA
"BVR",2014-08-13,"Rotifera",NA,NA
"BVR",2014-08-13,"Cladocera",0.536666666666667,0.259293913027925
"BVR",2014-08-13,"Copepoda",0.5,NA
"BVR",2014-09-04,"Daphnia",0.59,0.0848528137423857
"BVR",2014-09-04,"Calanoida",0.73,NA
"BVR",2014-09-04,"Cyclopoida",0.46,NA
"BVR",2014-09-04,"Nauplii",NA,NA
"BVR",2014-09-04,"Bosmina",NA,NA
"BVR",2014-09-04,"Ceriodaphnia",NA,NA
"BVR",2014-09-04,"Ascomorpha",NA,NA
"BVR",2014-09-04,"Conochilus",NA,NA
"BVR",2014-09-04,"Keratella",NA,NA
"BVR",2014-09-04,"Trichocerca",NA,NA
"BVR",2014-09-04,"Kellicottia",NA,NA
"BVR",2014-09-04,"Polyarthra",NA,NA
"BVR",2014-09-04,"Rotifera",NA,NA
"BVR",2014-09-04,"Cladocera",0.59,0.0848528137423857
"BVR",2014-09-04,"Copepoda",0.595,0.190918830920368
"BVR",2014-09-25,"Daphnia",0.51,NA
"BVR",2014-09-25,"Calanoida",0.59,NA
"BVR",2014-09-25,"Cyclopoida",0.48,NA
"BVR",2014-09-25,"Nauplii",NA,NA
"BVR",2014-09-25,"Bosmina",0.23,NA
"BVR",2014-09-25,"Ceriodaphnia",NA,NA
"BVR",2014-09-25,"Ascomorpha",NA,NA
"BVR",2014-09-25,"Conochilus",NA,NA
"BVR",2014-09-25,"Keratella",NA,NA
"BVR",2014-09-25,"Trichocerca",NA,NA
"BVR",2014-09-25,"Kellicottia",NA,NA
"BVR",2014-09-25,"Polyarthra",NA,NA
"BVR",2014-09-25,"Rotifera",NA,NA
"BVR",2014-09-25,"Cladocera",0.413333333333333,0.158850034099251
"BVR",2014-09-25,"Copepoda",0.535,0.0777817459305202
"BVR",2015-05-14,"Daphnia",NA,NA
"BVR",2015-05-14,"Calanoida",NA,NA
"BVR",2015-05-14,"Cyclopoida",0.55,NA
"BVR",2015-05-14,"Nauplii",NA,NA
"BVR",2015-05-14,"Bosmina",0.26,NA
"BVR",2015-05-14,"Ceriodaphnia",NA,NA
"BVR",2015-05-14,"Ascomorpha",NA,NA
"BVR",2015-05-14,"Conochilus",NA,NA
"BVR",2015-05-14,"Keratella",NA,NA
"BVR",2015-05-14,"Trichocerca",NA,NA
"BVR",2015-05-14,"Kellicottia",NA,NA
"BVR",2015-05-14,"Polyarthra",NA,NA
"BVR",2015-05-14,"Rotifera",NA,NA
"BVR",2015-05-14,"Cladocera",0.26,NA
"BVR",2015-05-14,"Copepoda",0.55,NA
"BVR",2015-05-28,"Daphnia",0.48,NA
"BVR",2015-05-28,"Calanoida",NA,NA
"BVR",2015-05-28,"Cyclopoida",0.48,NA
"BVR",2015-05-28,"Nauplii",NA,NA
"BVR",2015-05-28,"Bosmina",NA,NA
"BVR",2015-05-28,"Ceriodaphnia",0.26,NA
"BVR",2015-05-28,"Ascomorpha",NA,NA
"BVR",2015-05-28,"Conochilus",NA,NA
"BVR",2015-05-28,"Keratella",NA,NA
"BVR",2015-05-28,"Trichocerca",NA,NA
"BVR",2015-05-28,"Kellicottia",NA,NA
"BVR",2015-05-28,"Polyarthra",NA,NA
"BVR",2015-05-28,"Rotifera",NA,NA
"BVR",2015-05-28,"Cladocera",0.3,0.163707055437449
"BVR",2015-05-28,"Copepoda",0.48,NA
"BVR",2015-06-11,"Daphnia",0.53,NA
"BVR",2015-06-11,"Calanoida",0.34,NA
"BVR",2015-06-11,"Cyclopoida",0.36,NA
"BVR",2015-06-11,"Nauplii",NA,NA
"BVR",2015-06-11,"Bosmina",NA,NA
"BVR",2015-06-11,"Ceriodaphnia",0.4,NA
"BVR",2015-06-11,"Ascomorpha",NA,NA
"BVR",2015-06-11,"Conochilus",NA,NA
"BVR",2015-06-11,"Keratella",NA,NA
"BVR",2015-06-11,"Trichocerca",NA,NA
"BVR",2015-06-11,"Kellicottia",NA,NA
"BVR",2015-06-11,"Polyarthra",NA,NA
"BVR",2015-06-11,"Rotifera",NA,NA
"BVR",2015-06-11,"Cladocera",0.465,0.0919238815542512
"BVR",2015-06-11,"Copepoda",0.35,0.0141421356237309
"BVR",2015-06-25,"Daphnia",0.67,NA
"BVR",2015-06-25,"Calanoida",NA,NA
"BVR",2015-06-25,"Cyclopoida",0.49,NA
"BVR",2015-06-25,"Nauplii",NA,NA
"BVR",2015-06-25,"Bosmina",NA,NA
"BVR",2015-06-25,"Ceriodaphnia",0.26,NA
"BVR",2015-06-25,"Ascomorpha",NA,NA
"BVR",2015-06-25,"Conochilus",NA,NA
"BVR",2015-06-25,"Keratella",NA,NA
"BVR",2015-06-25,"Trichocerca",NA,NA
"BVR",2015-06-25,"Kellicottia",NA,NA
"BVR",2015-06-25,"Polyarthra",NA,NA
"BVR",2015-06-25,"Rotifera",NA,NA
"BVR",2015-06-25,"Cladocera",0.465,0.289913780286485
"BVR",2015-06-25,"Copepoda",0.49,NA
"BVR",2015-07-09,"Daphnia",0.615,0.106066017177982
"BVR",2015-07-09,"Calanoida",0.64,NA
"BVR",2015-07-09,"Cyclopoida",0.5,NA
"BVR",2015-07-09,"Nauplii",NA,NA
"BVR",2015-07-09,"Bosmina",NA,NA
"BVR",2015-07-09,"Ceriodaphnia",0.36,NA
"BVR",2015-07-09,"Ascomorpha",NA,NA
"BVR",2015-07-09,"Conochilus",NA,NA
"BVR",2015-07-09,"Keratella",NA,NA
"BVR",2015-07-09,"Trichocerca",NA,NA
"BVR",2015-07-09,"Kellicottia",NA,NA
"BVR",2015-07-09,"Polyarthra",NA,NA
"BVR",2015-07-09,"Rotifera",NA,NA
"BVR",2015-07-09,"Cladocera",0.53,0.165227116418583
"BVR",2015-07-09,"Copepoda",0.57,0.0989949493661167
"BVR",2015-07-23,"Daphnia",NA,NA
"BVR",2015-07-23,"Calanoida",0.46,NA
"BVR",2015-07-23,"Cyclopoida",0.4,NA
"BVR",2015-07-23,"Nauplii",NA,NA
"BVR",2015-07-23,"Bosmina",NA,NA
"BVR",2015-07-23,"Ceriodaphnia",NA,NA
"BVR",2015-07-23,"Ascomorpha",NA,NA
"BVR",2015-07-23,"Conochilus",NA,NA
"BVR",2015-07-23,"Keratella",NA,NA
"BVR",2015-07-23,"Trichocerca",NA,NA
"BVR",2015-07-23,"Kellicottia",NA,NA
"BVR",2015-07-23,"Polyarthra",NA,NA
"BVR",2015-07-23,"Rotifera",NA,NA
"BVR",2015-07-23,"Cladocera",0.22,NA
"BVR",2015-07-23,"Copepoda",0.43,0.0424264068711929
"BVR",2015-07-30,"Daphnia",0.51,0.0282842712474619
"BVR",2015-07-30,"Calanoida",NA,NA
"BVR",2015-07-30,"Cyclopoida",0.33,NA
"BVR",2015-07-30,"Nauplii",NA,NA
"BVR",2015-07-30,"Bosmina",NA,NA
"BVR",2015-07-30,"Ceriodaphnia",NA,NA
"BVR",2015-07-30,"Ascomorpha",NA,NA
"BVR",2015-07-30,"Conochilus",NA,NA
"BVR",2015-07-30,"Keratella",NA,NA
"BVR",2015-07-30,"Trichocerca",NA,NA
"BVR",2015-07-30,"Kellicottia",NA,NA
"BVR",2015-07-30,"Polyarthra",NA,NA
"BVR",2015-07-30,"Rotifera",NA,NA
"BVR",2015-07-30,"Cladocera",0.51,0.0282842712474619
"BVR",2015-07-30,"Copepoda",0.33,NA
"BVR",2015-08-13,"Daphnia",0.58,NA
"BVR",2015-08-13,"Calanoida",NA,NA
"BVR",2015-08-13,"Cyclopoida",0.38,NA
"BVR",2015-08-13,"Nauplii",NA,NA
"BVR",2015-08-13,"Bosmina",NA,NA
"BVR",2015-08-13,"Ceriodaphnia",NA,NA
"BVR",2015-08-13,"Ascomorpha",NA,NA
"BVR",2015-08-13,"Conochilus",NA,NA
"BVR",2015-08-13,"Keratella",NA,NA
"BVR",2015-08-13,"Trichocerca",NA,NA
"BVR",2015-08-13,"Kellicottia",NA,NA
"BVR",2015-08-13,"Polyarthra",NA,NA
"BVR",2015-08-13,"Rotifera",NA,NA
"BVR",2015-08-13,"Cladocera",0.45,0.183847763108502
"BVR",2015-08-13,"Copepoda",0.38,NA
"BVR",2015-09-04,"Daphnia",0.6,0.0989949493661167
"BVR",2015-09-04,"Calanoida",0.5,NA
"BVR",2015-09-04,"Cyclopoida",0.41,NA
"BVR",2015-09-04,"Nauplii",NA,NA
"BVR",2015-09-04,"Bosmina",NA,NA
"BVR",2015-09-04,"Ceriodaphnia",NA,NA
"BVR",2015-09-04,"Ascomorpha",NA,NA
"BVR",2015-09-04,"Conochilus",NA,NA
"BVR",2015-09-04,"Keratella",NA,NA
"BVR",2015-09-04,"Trichocerca",NA,NA
"BVR",2015-09-04,"Kellicottia",NA,NA
"BVR",2015-09-04,"Polyarthra",NA,NA
"BVR",2015-09-04,"Rotifera",NA,NA
"BVR",2015-09-04,"Cladocera",0.486666666666667,0.208406653764541
"BVR",2015-09-04,"Copepoda",0.455,0.0636396103067893
"BVR",2015-09-18,"Daphnia",0.73,0.141421356237309
"BVR",2015-09-18,"Calanoida",0.36,NA
"BVR",2015-09-18,"Cyclopoida",0.41,NA
"BVR",2015-09-18,"Nauplii",NA,NA
"BVR",2015-09-18,"Bosmina",0.19,NA
"BVR",2015-09-18,"Ceriodaphnia",NA,NA
"BVR",2015-09-18,"Ascomorpha",NA,NA
"BVR",2015-09-18,"Conochilus",NA,NA
"BVR",2015-09-18,"Keratella",NA,NA
"BVR",2015-09-18,"Trichocerca",NA,NA
"BVR",2015-09-18,"Kellicottia",NA,NA
"BVR",2015-09-18,"Polyarthra",NA,NA
"BVR",2015-09-18,"Rotifera",NA,NA
"BVR",2015-09-18,"Cladocera",0.55,0.327414110874898
"BVR",2015-09-18,"Copepoda",0.385,0.0353553390593274
"BVR",2015-10-02,"Daphnia",0.66,NA
"BVR",2015-10-02,"Calanoida",0.56,NA
"BVR",2015-10-02,"Cyclopoida",0.44,NA
"BVR",2015-10-02,"Nauplii",NA,NA
"BVR",2015-10-02,"Bosmina",0.16,NA
"BVR",2015-10-02,"Ceriodaphnia",NA,NA
"BVR",2015-10-02,"Ascomorpha",NA,NA
"BVR",2015-10-02,"Conochilus",NA,NA
"BVR",2015-10-02,"Keratella",NA,NA
"BVR",2015-10-02,"Trichocerca",NA,NA
"BVR",2015-10-02,"Kellicottia",NA,NA
"BVR",2015-10-02,"Polyarthra",NA,NA
"BVR",2015-10-02,"Rotifera",NA,NA
"BVR",2015-10-02,"Cladocera",0.41,0.353553390593274
"BVR",2015-10-02,"Copepoda",0.5,0.0848528137423857
"BVR",2015-10-23,"Daphnia",0.69,NA
"BVR",2015-10-23,"Calanoida",0.64,NA
"BVR",2015-10-23,"Cyclopoida",0.51,NA
"BVR",2015-10-23,"Nauplii",NA,NA
"BVR",2015-10-23,"Bosmina",0.3,NA
"BVR",2015-10-23,"Ceriodaphnia",NA,NA
"BVR",2015-10-23,"Ascomorpha",NA,NA
"BVR",2015-10-23,"Conochilus",NA,NA
"BVR",2015-10-23,"Keratella",NA,NA
"BVR",2015-10-23,"Trichocerca",NA,NA
"BVR",2015-10-23,"Kellicottia",NA,NA
"BVR",2015-10-23,"Polyarthra",NA,NA
"BVR",2015-10-23,"Rotifera",NA,NA
"BVR",2015-10-23,"Cladocera",0.566666666666667,0.231156512634477
"BVR",2015-10-23,"Copepoda",0.575,0.0919238815542512
"BVR",2016-04-06,"Daphnia",NA,NA
"BVR",2016-04-06,"Calanoida",NA,NA
"BVR",2016-04-06,"Cyclopoida",1.095,0.275771644662754
"BVR",2016-04-06,"Nauplii",NA,NA
"BVR",2016-04-06,"Bosmina",0.235,0.0212132034355964
"BVR",2016-04-06,"Ceriodaphnia",NA,NA
"BVR",2016-04-06,"Ascomorpha",NA,NA
"BVR",2016-04-06,"Conochilus",NA,NA
"BVR",2016-04-06,"Keratella",NA,NA
"BVR",2016-04-06,"Trichocerca",NA,NA
"BVR",2016-04-06,"Kellicottia",NA,NA
"BVR",2016-04-06,"Polyarthra",NA,NA
"BVR",2016-04-06,"Rotifera",NA,NA
"BVR",2016-04-06,"Cladocera",0.243333333333333,0.0208166599946613
"BVR",2016-04-06,"Copepoda",1.095,0.275771644662754
"BVR",2016-04-20,"Daphnia",0.55,NA
"BVR",2016-04-20,"Calanoida",NA,NA
"BVR",2016-04-20,"Cyclopoida",0.665,0.0494974746830583
"BVR",2016-04-20,"Nauplii",NA,NA
"BVR",2016-04-20,"Bosmina",0.2,NA
"BVR",2016-04-20,"Ceriodaphnia",NA,NA
"BVR",2016-04-20,"Ascomorpha",NA,NA
"BVR",2016-04-20,"Conochilus",NA,NA
"BVR",2016-04-20,"Keratella",NA,NA
"BVR",2016-04-20,"Trichocerca",NA,NA
"BVR",2016-04-20,"Kellicottia",NA,NA
"BVR",2016-04-20,"Polyarthra",NA,NA
"BVR",2016-04-20,"Rotifera",NA,NA
"BVR",2016-04-20,"Cladocera",0.345,0.149777612924406
"BVR",2016-04-20,"Copepoda",0.665,0.0494974746830583
"BVR",2016-05-04,"Daphnia",0.61,0.0707106781186547
"BVR",2016-05-04,"Calanoida",NA,NA
"BVR",2016-05-04,"Cyclopoida",0.54,0.014142135623731
"BVR",2016-05-04,"Nauplii",NA,NA
"BVR",2016-05-04,"Bosmina",NA,NA
"BVR",2016-05-04,"Ceriodaphnia",NA,NA
"BVR",2016-05-04,"Ascomorpha",NA,NA
"BVR",2016-05-04,"Conochilus",NA,NA
"BVR",2016-05-04,"Keratella",NA,NA
"BVR",2016-05-04,"Trichocerca",NA,NA
"BVR",2016-05-04,"Kellicottia",NA,NA
"BVR",2016-05-04,"Polyarthra",NA,NA
"BVR",2016-05-04,"Rotifera",NA,NA
"BVR",2016-05-04,"Cladocera",0.61,0.0707106781186547
"BVR",2016-05-04,"Copepoda",0.54,0.014142135623731
"BVR",2016-05-20,"Daphnia",0.43,NA
"BVR",2016-05-20,"Calanoida",0.49,NA
"BVR",2016-05-20,"Cyclopoida",0.485,0.0212132034355964
"BVR",2016-05-20,"Nauplii",NA,NA
"BVR",2016-05-20,"Bosmina",NA,NA
"BVR",2016-05-20,"Ceriodaphnia",NA,NA
"BVR",2016-05-20,"Ascomorpha",NA,NA
"BVR",2016-05-20,"Conochilus",NA,NA
"BVR",2016-05-20,"Keratella",NA,NA
"BVR",2016-05-20,"Trichocerca",NA,NA
"BVR",2016-05-20,"Kellicottia",NA,NA
"BVR",2016-05-20,"Polyarthra",NA,NA
"BVR",2016-05-20,"Rotifera",NA,NA
"BVR",2016-05-20,"Cladocera",0.43,NA
"BVR",2016-05-20,"Copepoda",0.486666666666667,0.0152752523165195
"BVR",2016-06-02,"Daphnia",0.46,NA
"BVR",2016-06-02,"Calanoida",NA,NA
"BVR",2016-06-02,"Cyclopoida",0.4,0
